CHAR,DIALOG,NAME,_ID,RUNTIMEINMINUTES,ACADEMYAWARDNOMINATIONS,ACADEMYAWARDWINS,RELEASE_YEAR,DIA_LGTH,IMDB,METASCORE,DESCRIPTION
GANDALF,"Escaped ,     or was set loose and now the Ring has drawn him here ,     He won't ever be rid of his need for it. He hates and loves the Ring,     as he hates and loves himself. Smeagol's life is a sad story    , Yes    , he was once called, before the Ring     found him. Before it drove him mad",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,296,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
SAM,"No. No you're not all right, you're exhausted. It's that Gollum. It's     this place. It's that thing around your neck. , I could help a bit. I could carry it for     a while ,,     carry it for a while ,     I could carry it' I could carry it' Share the load' share the load' share     the load",The Return of the King,5cd95395de30eff6ebccde5d,201,11,11,2003,295,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
GALADRIEL,"It betrayed Isildur ,to his death. ,And some things that should not have been forgotten were lost.    ,History became legend, legend     became myth, , and for two and a half thousand years the Ring passed out of     all knowledge. , Until, when chance came    , It     ensnared a new bearer.",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,292,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
BILBO,"Yes Yes , Made by the elves you know. The blade glows blue     when orcs are close and its times like that my lad, when you have to be     extra careful.    Here's a pretty thing. , Mithril!    ,     as light as a feather and as hard as dragon scales. Let me see you put     it on, go on.",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,288,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
BOROMIR,"This city was once the jewel of our kingdom. A place of light and beauty     and music. And so it shall be once more! ,Let the armies of Mordor know this:     Never again will the land of my people fall into enemy hands.    ,This city of Osgiliath has been     reclaimed ,for     Gondor!",The Two Towers,5cd95395de30eff6ebccde5b,179,6,2,2002,287,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
GOLLUM,"A swamp, yes, yes.Come, master. We will take youon safe paths through the mist.Come, Hobbits! Come! We go quickly. ,I found it. I did.The way through the marshes.Orcs don't use it.Orcs don't know it.They go around for miles and miles.Come quickly.Soft and quick as shadows we must be.",The Two Towers,5cd95395de30eff6ebccde5b,179,6,2,2002,284,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
SAM,"I wonder if people will ever say,      ""Let's hear about Frodo and the Ring.""      And they'll say,      ""Yes! That's one of my favourite stories.""      ""Frodo was really courageous, wasn't he, Dad? ""      ""Yes, my boy. ,The most famousest of Hobbits.      And that's saying a lot."",",The Two Towers,5cd95395de30eff6ebccde5b,179,6,2,2002,283,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
FRODO,",And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight.",The Return of the King,5cd95395de30eff6ebccde5d,201,11,11,2003,282,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
GRIMA,"Theoden will not stay at Edoras.It's vulnerable. He knows this.,He will expect an attack on the city.,They will flee to Helm's Deep......the great fortress of Rohan.,It is a dangerous road to takethrough the mountains.,They will be slow.,They will have women and childrenwith them.",The Two Towers,5cd95395de30eff6ebccde5b,179,6,2,2002,281,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
BOROMIR,"Aye it is a     gift! ,A gift to the foes of     Mordor. Why not use this Ring ? , Long has my father, the Steward of Gondor kept     the forces of Mordor at bey. By the ,of our people are     your lands kept safe. Give Gondor the weapon of the enemy, let us use     it against him",The Fellowship of the Ring,5cd95395de30eff6ebccde5c,178,13,4,2001,281,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
